08-20-2026 21:14:38 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,44%@2201,0%@2201,0%@2201,0%@729,45%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@55.437C soc2@52.031C soc0@51.843C gpu@51.406C tj@55.437C soc1@51.843C VDD_GPU_SOC 6369mW/4940mW VDD_CPU_CV 4378mW/1839mW VIN_SYS_5V0 7524mW/5310mW
08-20-2026 21:14:38 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,40%@729,0%@2201,0%@2201,0%@729,40%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@55.218C soc2@52.031C soc0@51.781C gpu@51.218C tj@55.218C soc1@51.937C VDD_GPU_SOC 6369mW/4993mW VDD_CPU_CV 4378mW/1933mW VIN_SYS_5V0 7624mW/5396mW
08-20-2026 21:14:38 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,45%@729,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@55.187C soc2@52.156C soc0@51.781C gpu@51.281C tj@55.187C soc1@51.687C VDD_GPU_SOC 6369mW/5042mW VDD_CPU_CV 4378mW/2021mW VIN_SYS_5V0 7724mW/5479mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,45%@2201,0%@2201,0%@2201,0%@729,10%@729,0%@729,30%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 75% cpu@55.125C soc2@52C soc0@51.906C gpu@51.656C tj@55.343C soc1@51.75C VDD_GPU_SOC 6369mW/5088mW VDD_CPU_CV 4378mW/2102mW VIN_SYS_5V0 7724mW/5556mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,40%@729,0%@729,0%@729,0%@729,0%@729,8%@729,45%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 69% cpu@55.125C soc2@52.031C soc0@51.875C gpu@51.312C tj@55.343C soc1@51.937C VDD_GPU_SOC 6764mW/5144mW VDD_CPU_CV 4378mW/2178mW VIN_SYS_5V0 7824mW/5632mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [20%@729,50%@729,0%@729,8%@2201,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.437C soc2@52.156C soc0@51.812C gpu@51.718C tj@55.437C soc1@51.687C VDD_GPU_SOC 6764mW/5196mW VDD_CPU_CV 4377mW/2249mW VIN_SYS_5V0 7824mW/5703mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,45%@729,0%@729,0%@729,0%@729,0%@729,16%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.125C soc2@52.125C soc0@51.937C gpu@51.593C tj@55.281C soc1@51.812C VDD_GPU_SOC 6764mW/5245mW VDD_CPU_CV 4377mW/2315mW VIN_SYS_5V0 7925mW/5772mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,44%@729,0%@729,0%@2201,0%@729,0%@729,0%@729,45%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@55.25C soc2@52.156C soc0@51.843C gpu@51.531C tj@55.468C soc1@51.937C VDD_GPU_SOC 6764mW/5291mW VDD_CPU_CV 4377mW/2378mW VIN_SYS_5V0 7925mW/5837mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,9%@729,40%@729,0%@729,0%@729,36%@729,0%@729,11%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 71% cpu@55.312C soc2@52.156C soc0@51.875C gpu@51.468C tj@55.312C soc1@51.812C VDD_GPU_SOC 6764mW/5334mW VDD_CPU_CV 4377mW/2437mW VIN_SYS_5V0 8025mW/5902mW
08-20-2026 21:14:39 RAM 4337/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@729,0%@729,50%@2201,0%@2201,0%@729,40%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 69% cpu@55.187C soc2@52.125C soc0@51.937C gpu@51.281C tj@55.5C soc1@51.906C VDD_GPU_SOC 6764mW/5375mW VDD_CPU_CV 4377mW/2492mW VIN_SYS_5V0 8025mW/5962mW
