08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,10%@2201,0%@2201,0%@729,10%@729,0%@729,0%@729,0%@1036,0%@1036,80%@1036,0%@1036] GR3D_FREQ 96% cpu@55.875C soc2@52.875C soc0@52.937C gpu@54.593C tj@55.875C soc1@52.156C VDD_GPU_SOC 20212mW/11929mW VDD_CPU_CV 2775mW/1956mW VIN_SYS_5V0 7524mW/5991mW
08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@729,0%@729,10%@729,0%@729,0%@729,10%@729,0%@729,0%@729,0%@1113,0%@1113,72%@1113,0%@1113] GR3D_FREQ 96% cpu@56C soc2@52.812C soc0@53.093C gpu@54.406C tj@56C soc1@52.156C VDD_GPU_SOC 20212mW/12136mW VDD_CPU_CV 2774mW/1976mW VIN_SYS_5V0 7524mW/6029mW
08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,18%@2201,0%@2201,0%@729,18%@729,0%@729,0%@729,0%@1113,36%@1113,30%@1113,0%@1113] GR3D_FREQ 96% cpu@55.75C soc2@52.843C soc0@52.968C gpu@54.531C tj@55.75C soc1@52.281C VDD_GPU_SOC 20212mW/12333mW VDD_CPU_CV 2774mW/1996mW VIN_SYS_5V0 7524mW/6065mW
08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,18%@729,0%@729,0%@729,10%@729,0%@729,0%@729,0%@1113,60%@1113,11%@1113,0%@1113] GR3D_FREQ 96% cpu@55.812C soc2@52.875C soc0@53C gpu@54.718C tj@55.812C soc1@52.093C VDD_GPU_SOC 20212mW/12521mW VDD_CPU_CV 2774mW/2014mW VIN_SYS_5V0 7524mW/6100mW
08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,10%@2201,0%@2201,0%@729,10%@729,0%@729,0%@729,0%@1113,0%@1113,72%@1113,0%@1113] GR3D_FREQ 96% cpu@55.656C soc2@52.843C soc0@53.062C gpu@54.656C tj@55.656C soc1@52.281C VDD_GPU_SOC 20212mW/12700mW VDD_CPU_CV 2774mW/2032mW VIN_SYS_5V0 7524mW/6133mW
08-20-2026 21:15:05 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [8%@2201,0%@2201,18%@2201,0%@2201,0%@729,18%@729,0%@729,0%@729,9%@1113,0%@1113,81%@1113,0%@1113] GR3D_FREQ 96% cpu@55.75C soc2@52.875C soc0@52.968C gpu@54.562C tj@55.75C soc1@52.312C VDD_GPU_SOC 20212mW/12870mW VDD_CPU_CV 2774mW/2049mW VIN_SYS_5V0 7524mW/6165mW
08-20-2026 21:15:06 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,18%@729,0%@729,0%@729,10%@729,0%@729,0%@729,0%@1036,0%@1036,66%@1036,0%@1036] GR3D_FREQ 96% cpu@55.75C soc2@52.968C soc0@53.031C gpu@54.718C tj@55.75C soc1@52.156C VDD_GPU_SOC 20212mW/13033mW VDD_CPU_CV 2774mW/2065mW VIN_SYS_5V0 7524mW/6195mW
08-20-2026 21:15:06 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,10%@2201,8%@2201,0%@729,10%@729,0%@729,0%@729,0%@1036,0%@1036,81%@1036,0%@1036] GR3D_FREQ 96% cpu@55.656C soc2@52.812C soc0@53.156C gpu@54.531C tj@55.656C soc1@52.218C VDD_GPU_SOC 20212mW/13190mW VDD_CPU_CV 2774mW/2080mW VIN_SYS_5V0 7524mW/6224mW
08-20-2026 21:15:06 RAM 4414/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,18%@2201,0%@2201,0%@729,16%@729,0%@729,0%@729,0%@1036,60%@1036,11%@1036,0%@1036] GR3D_FREQ 96% cpu@55.718C soc2@52.937C soc0@53.187C gpu@54.593C tj@55.718C soc1@52.375C VDD_GPU_SOC 20212mW/13339mW VDD_CPU_CV 2774mW/2095mW VIN_SYS_5V0 7524mW/6252mW
08-20-2026 21:15:06 RAM 4415/62841MB (lfb 87x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,18%@729,0%@729,0%@729,0%@1036,70%@1036,0%@1036,0%@1036] GR3D_FREQ 96% cpu@56C soc2@53C soc0@53.125C gpu@54.812C tj@56C soc1@52.156C VDD_GPU_SOC 20212mW/13482mW VDD_CPU_CV 2774mW/2109mW VIN_SYS_5V0 7524mW/6278mW
