08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.187C soc2@50.437C soc0@50C gpu@49.687C tj@53.187C soc1@49.812C VDD_GPU_SOC 5183mW/4674mW VDD_CPU_CV 2792mW/1130mW VIN_SYS_5V0 6410mW/4841mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,61%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.062C soc2@50.343C soc0@50.093C gpu@49.5C tj@53.062C soc1@49.875C VDD_GPU_SOC 5183mW/4695mW VDD_CPU_CV 2792mW/1197mW VIN_SYS_5V0 6520mW/4909mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.062C soc2@50.375C soc0@50C gpu@49.687C tj@53.062C soc1@49.906C VDD_GPU_SOC 5183mW/4714mW VDD_CPU_CV 2791mW/1258mW VIN_SYS_5V0 6520mW/4971mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [18%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.343C soc2@50.375C soc0@50.031C gpu@49.718C tj@53.343C soc1@49.843C VDD_GPU_SOC 5183mW/4731mW VDD_CPU_CV 2791mW/1315mW VIN_SYS_5V0 6621mW/5032mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,50%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.031C soc2@50.343C soc0@50.156C gpu@49.531C tj@53.031C soc1@49.843C VDD_GPU_SOC 5183mW/4747mW VDD_CPU_CV 2791mW/1368mW VIN_SYS_5V0 6621mW/5088mW
08-20-2026 21:13:22 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@2201,0%@2201,0%@2201,0%@2201,0%@729,15%@729,0%@729,66%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.281C soc2@50.375C soc0@49.968C gpu@49.437C tj@53.281C soc1@49.781C VDD_GPU_SOC 5183mW/4762mW VDD_CPU_CV 2791mW/1417mW VIN_SYS_5V0 6621mW/5141mW
08-20-2026 21:13:23 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,9%@2201,0%@729,0%@729,0%@729,44%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.218C soc2@50.468C soc0@50.031C gpu@49.343C tj@53.218C soc1@49.781C VDD_GPU_SOC 5183mW/4776mW VDD_CPU_CV 2791mW/1463mW VIN_SYS_5V0 6621mW/5191mW
08-20-2026 21:13:23 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [10%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.125C soc2@50.375C soc0@50.031C gpu@49.718C tj@53.125C soc1@49.812C VDD_GPU_SOC 5183mW/4789mW VDD_CPU_CV 2791mW/1505mW VIN_SYS_5V0 6721mW/5240mW
08-20-2026 21:13:23 RAM 4210/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.093C soc2@50.406C soc0@50C gpu@49.656C tj@53.093C soc1@49.75C VDD_GPU_SOC 5183mW/4802mW VDD_CPU_CV 2791mW/1546mW VIN_SYS_5V0 6721mW/5286mW
08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [16%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.156C soc2@50.343C soc0@50.031C gpu@49.593C tj@53.156C soc1@49.781C VDD_GPU_SOC 5183mW/4813mW VDD_CPU_CV 2791mW/1583mW VIN_SYS_5V0 6721mW/5330mW
08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@729,0%@729,0%@2201,0%@2201,0%@729,0%@729,0%@729,54%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.093C soc2@50.343C soc0@49.937C gpu@49.718C tj@53.093C soc1@49.906C VDD_GPU_SOC 5183mW/4824mW VDD_CPU_CV 2791mW/1619mW VIN_SYS_5V0 6721mW/5371mW
08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [9%@729,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,55%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 15% cpu@53.218C soc2@50.343C soc0@50.031C gpu@49.562C tj@53.218C soc1@49.812C VDD_GPU_SOC 5183mW/4834mW VDD_CPU_CV 2791mW/1652mW VIN_SYS_5V0 6721mW/5409mW
08-20-2026 21:13:23 RAM 4211/62841MB (lfb 88x4MB) SWAP 0/31421MB (cached 0MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,0%@729,8%@729,0%@729,60%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 16% cpu@53.312C soc2@50.343C soc0@50.031C gpu@49.5C tj@53.312C soc1@49.812C VDD_GPU_SOC 5183mW/4844mW VDD_CPU_CV 2791mW/1684mW VIN_SYS_5V0 6721mW/5446mW
